timestamp,download_speed,upload_speed,latency,jitter,dns_lookup_time,traceroute_hops,packet_loss,packet_sent,packet_rec,rx_bandwidth,tx_bandwidth,protocol,timestamp
2025-03-03T23:44:11.122207,5.446830731950721,5.171845798111246,0,0,0.0,0,100.0,10.0,0.0,5.5,2.3,tcp,2025-03-03T23:44:11.122207
2025-03-03T23:51:43.810147,14.820947756810709,3.8357030926426297,78.2935619354248,31.239032745361328,31.232118606567383,0,0.0,10.0,10.0,5.5,2.3,tcp,2025-03-03T23:51:43.810147
2025-03-03T23:53:36.197010,8.4317274366759,3.326481184750756,318.9198970794678,19.263744354248047,0.0,0,0.0,10.0,10.0,5.5,2.3,tcp,2025-03-03T23:53:36.197010
2025-03-03T23:57:13.132338,10.341937510917381,2.516096881091398,352.17905044555664,31.895160675048828,69.66423988342285,0,0.0,10.0,10.0,5.5,2.3,tcp,2025-03-03T23:57:13.132338
2025-03-03T23:57:39.379791,9.788448207101313,2.8206259964683773,219.8038101196289,84.56182479858398,0.0,0,0.0,10.0,10.0,5.5,2.3,tcp,2025-03-03T23:57:39.379791
2025-03-11T17:47:49.214178,7.260312195611022,6.141181033701755,6.332635879516602,8.86988639831543,3.6416053771972656,0,60.0,10.0,4.0,5.5,2.3,tcp,2025-03-11T17:47:49.214178
2025-03-11T17:48:02.630134,3.267863333543031,7.866453220072119,0.0,15.621423721313477,0.0,0,0.0,10.0,10.0,5.5,2.3,tcp,2025-03-11T17:48:02.630134
2025-03-11T17:49:04.460088,7.13744623343987,5.269405409804051,0.0,16.32547378540039,0.0,0,0.0,10.0,10.0,5.5,2.3,tcp,2025-03-11T17:49:04.460088
2025-03-11T17:52:01.395026,8.890381343025759,4.007099556908974,4.91786003112793,6.458282470703125,9.902238845825195,0,0.0,10.0,10.0,5.5,2.3,tcp,2025-03-11T17:52:01.395026
2025-03-11T17:52:13.528914,7.825430856063142,5.931553928334087,10.122299194335938,2.272367477416992,2.9075145721435547,0,0.0,10.0,10.0,5.5,2.3,tcp,2025-03-11T17:52:13.528914
2025-03-11T17:53:19.505738,8.988462625791485,5.917351480846194,16.74199104309082,16.56055450439453,0.0,0,0.0,10.0,10.0,5.5,2.3,tcp,2025-03-11T17:53:19.505738
2025-03-11T17:56:28.618076,18.178629744363963,6.813166763994168,53.427696228027344,28.40137481689453,31.412124633789062,0,0.0,10.0,10.0,5.5,2.3,tcp,2025-03-11T17:56:28.618076
2025-03-11T18:02:02.072393,0.0,0.0,29.491662979125977,12.542247772216797,49.097299575805664,0,0.0,10.0,10.0,5.5,2.3,tcp,2025-03-11T18:02:02.072393
2025-03-11T18:06:04.699307,17.36422070323766,3.0812223828893375,517.3003673553467,23.363828659057617,14.421463012695312,0,0.0,10.0,10.0,5.5,2.3,tcp,2025-03-11T18:06:04.699307
2025-03-11T18:08:01.686418,35.59240216147805,2.22728962486186,124.17721748352051,10.114431381225586,31.25929832458496,0,0.0,10.0,10.0,5.5,2.3,tcp,2025-03-11T18:08:01.686418
2025-03-11T18:13:59.050513,19.765992673619586,3.273962030882417,175.30035972595215,167.94586181640625,21.75140380859375,0,0.0,10.0,10.0,5.5,2.3,tcp,2025-03-11T18:13:59.050513
2025-03-11T18:19:58.024775,28.79143279048298,4.5227380384368105,404.82044219970703,6.773948669433594,5.645275115966797,0,0.0,10.0,10.0,5.5,2.3,tcp,2025-03-11T18:19:58.024775
2025-03-11T20:11:40.189884,4.609871731719568,8.868363248580112,5.674839019775391,6.255865097045898,3.6733150482177734,0,0.0,10.0,10.0,5.5,2.3,tcp,2025-03-11T20:11:40.189884
2025-03-11T20:12:22.646553,7.12681118303042,8.4066833045853,6.664514541625977,3.8776397705078125,0.7481575012207031,0,0.0,10.0,10.0,5.5,2.3,tcp,2025-03-11T20:12:22.646553
2025-03-11T20:30:39.051465,0.0,0.0,5.639553070068359,1.3892650604248047,4.356145858764648,0,0.0,10.0,10.0,5.5,2.3,tcp,2025-03-11T20:30:39.051465
2025-03-11T20:31:13.322558,0.0,0.0,5.375146865844727,1.7354488372802734,1.1012554168701172,0,0.0,10.0,10.0,5.5,2.3,tcp,2025-03-11T20:31:13.322558
2025-03-11T20:32:50.584918,0.0,0.0,5.082607269287109,0.8652210235595703,0.5943775177001953,0,0.0,10.0,10.0,5.5,2.3,tcp,2025-03-11T20:32:50.584918
2025-03-11T20:39:44.762980,3.9499341809365327,0.3148109470782363,0,0,2265.1169300079346,0,90.0,10.0,1.0,5.5,2.3,tcp,2025-03-11T20:39:44.762980
2025-03-11T20:40:29.576465,7.701042864381284,0.4194890100892644,0,0,0.6871223449707031,0,100.0,10.0,0.0,5.5,2.3,tcp,2025-03-11T20:40:29.576465
2025-03-11T20:42:42.192549,0.0,0.0,0,0,8.390426635742188,0,0.0,10.0,10.0,5.5,2.3,tcp,2025-03-11T20:42:42.192549
2025-03-11T20:45:59.022013,7.956427875982895,0.3240471045355651,0,0,0.518798828125,0,10.0,10.0,9.0,5.5,2.3,tcp,2025-03-11T20:45:59.022013
2025-03-11T20:46:58.037817,2.461444935443463,0.33012045882014257,0,502.4075508117676,6.029367446899414,0,10.0,10.0,9.0,5.5,2.3,tcp,2025-03-11T20:46:58.037817
2025-03-11T20:51:25.588197,0.0,0.0,0,0,0,5,0.0,10.0,10.0,5.5,2.3,tcp,2025-03-11T20:51:25.588197
2025-03-11T21:24:39.525119,5.994667066154223,4.163315487684595,93.60575675964355,15.700340270996094,46.86427116394043,0,0.0,10.0,10.0,5.5,2.3,tcp,2025-03-11T21:24:39.525119
2025-03-11T21:25:35.433671,3.2958130726539463,3.9021679372607547,50.13132095336914,27.910709381103516,0.0,0,0.0,10.0,10.0,5.5,2.3,tcp,2025-03-11T21:25:35.433671
2025-03-11T21:27:45.886999,4.537004381656509,4.067673373499848,451.1418342590332,11.62576675415039,197.34644889831543,0,10.0,10.0,9.0,5.5,2.3,tcp,2025-03-11T21:27:45.886999
2025-03-11T21:30:12.170024,0.0,0.0,95.37577629089355,40.31777381896973,0.0,0,0.0,10.0,10.0,5.5,2.3,tcp,2025-03-11T21:30:12.170024
2025-03-11T21:33:47.589118,0.0,0.0,187.21818923950195,105.00407218933105,103.53326797485352,0,0.0,10.0,10.0,5.5,2.3,tcp,2025-03-11T21:33:47.589118
2025-03-11T21:36:41.746021,2.060850147816375,0.2795134249157023,0,0,0,0,0.0,10.0,10.0,5.5,2.3,tcp,2025-03-11T21:36:41.746021
2025-03-28T22:56:44.833847,11.344758541368288,120.20975842068489,6.962776184082031,5.982160568237305,15.47384262084961,0,0.0,10.0,10.0,5.5,2.3,tcp,2025-03-28T22:56:44.833847
2025-03-28T22:57:30.588716,10.564168692220411,120.88919473082963,15.630722045898438,15.626668930053711,0.0,0,0.0,10.0,10.0,5.5,2.3,tcp,2025-03-28T22:57:30.588716
2025-03-28T22:59:26.035162,10.791380937683256,120.00728626609985,0.0,15.578985214233398,0.0,0,0.0,10.0,10.0,5.5,2.3,tcp,2025-03-28T22:59:26.035162
2025-05-17T14:19:27.499758,41.9261181001936,4.507661092922134,561.1710548400879,267.2615051269531,3.89862060546875,0,0.0,10.0,10.0,5.5,2.3,tcp,2025-05-17T14:19:27.499758
2025-05-17T14:25:07.940104,50.55834091314246,10.769437438902479,98.91724586486816,4.081487655639648,31.6007137298584,0,0.0,10.0,10.0,5.5,2.3,tcp,2025-05-17T14:25:07.940104
2025-05-17T14:25:37.947398,49.17172377869648,11.596102831202291,92.04435348510742,4.886150360107422,0.0,0,0.0,10.0,10.0,5.5,2.3,tcp,2025-05-17T14:25:37.947398
